substrate,thickness_mm,r,g,b
white,0.0,,,
white,0.08,,,
white,0.16,,,
white,0.24,,,
white,0.32,,,
white,0.4,,,
white,0.48,,,
white,0.56,,,
white,0.64,,,
white,0.72,,,
white,0.8,,,
white,0.88,,,
white,0.96,,,
white,1.04,,,
white,1.12,,,
white,1.2,,,
white,1.28,,,
white,2.0,,,
black,0.0,,,
black,0.08,,,
black,0.16,,,
black,0.24,,,
black,0.32,,,
black,0.4,,,
black,0.48,,,
black,0.56,,,
black,0.64,,,
black,0.72,,,
black,0.8,,,
black,0.88,,,
black,0.96,,,
black,1.04,,,
black,1.12,,,
black,1.2,,,
black,1.28,,,
black,2.0,,,
